game_id,date_start,type,table,num,scoring_version,judge,winner_code,first_killed,best_player,our_player_count,our_players,table_players,source_url,error
611633,2026-08-02 06:00:00,match,1,19,3.0,Anомалия,0,98325,Данил_Колбасенко,2,Кармин; Д. Колбасенко,Данил_Колбасенко; Healer; Чеба; pochemyyazdes; WELSH; pevoon; ГМЖ; Кармин; Antimuge; SheyWost,https://polemicagame.com/match/611633,
611634,2026-08-02 07:00:00,match,1,20,3.0,Anомалия,0,74291,ГМЖ,1,Кармин,ГМЖ; Кармин; pevoon; Размен; Чеба; Healer; Antimuge; WELSH; SheyWost; pochemyyazdes,https://polemicagame.com/match/611634,
611635,2026-08-02 08:00:00,match,1,21,3.0,Anомалия,0,343,саня запчасти,4,Ластхиро; Саня запчасти; Story; Macarena,Macarena; Гoспoжa; Размен; Stereo; саня запчасти; Чеба; 23; Story; Ластхиро; paster,https://polemicagame.com/match/611635,
611636,2026-08-02 09:00:00,match,1,22,3.0,Anомалия,1,4807,Ластхиро,4,Ластхиро; Саня запчасти; Story; Macarena,саня запчасти; 23; Чеба; Stereo; Macarena; Story; Гoспoжa; paster; Ластхиро; Размен,https://polemicagame.com/match/611636,
611637,2026-08-02 10:00:00,match,1,23,3.0,Anомалия,1,74059,Ластхиро,4,Ластхиро; Саня запчасти; Story; Macarena,paster; Stereo; Чеба; Ластхиро; Размен; саня запчасти; Story; Macarena; Гoспoжa; 23,https://polemicagame.com/match/611637,
611638,2026-08-02 11:00:00,match,1,24,3.0,Anомалия,0,65077,paster,4,Ластхиро; Саня запчасти; Story; Macarena,Macarena; саня запчасти; Чеба; Story; Stereo; 23; Гoспoжa; paster; Размен; Ластхиро,https://polemicagame.com/match/611638,
613292,2026-08-02 11:14:36,match,3,45,3.0,Dmitry_st,0,[],Фырчик,3,Вега; Фырчик; Elric,Elric; Искра; Вега; комик; Фырчик; Talisman; Декс; Оладуш; Сан-Франциско; ГМЖ,https://polemicagame.com/match/613292,
613293,2026-08-02 11:15:54,match,3,46,3.0,Dmitry_st,1,[],Вега,3,Вега; Фырчик; Elric,Искра; Вега; Elric; Talisman; Декс; Сан-Франциско; комик; ГМЖ; Фырчик; Оладуш,https://polemicagame.com/match/613293,
613294,2026-08-02 11:17:18,match,3,47,3.0,Dmitry_st,1,[],комик,3,Вега; Фырчик; Elric,Декс; Фырчик; Talisman; Искра; ГМЖ; комик; Вега; Elric; Оладуш; Сан-Франциско,https://polemicagame.com/match/613294,
613296,2026-08-02 11:18:16,match,3,48,3.0,Dmitry_st,1,[],Вега,3,Вега; Фырчик; Elric,Фырчик; Вега; Talisman; Декс; ГМЖ; Сан-Франциско; комик; Оладуш; Elric; Искра,https://polemicagame.com/match/613296,
611639,2026-08-02 12:00:00,match,1,25,3.0,Anомалия,0,109360,paster,4,Ластхиро; Саня запчасти; Story; Macarena,саня запчасти; Ластхиро; Гoспoжa; Macarena; Story; 23; Чеба; Stereo; paster; Размен,https://polemicagame.com/match/611639,
611640,2026-08-02 13:00:00,match,1,26,3.0,Anомалия,0,4807,Гoспoжa,4,Ластхиро; Саня запчасти; Story; Аномалия,саня запчасти; Аккорд; Доктор_Ливси; Ластхиро; Гoспoжa; Размен; Stereo; Anомалия; Story; 23,https://polemicagame.com/match/611640,
613288,2026-08-02 13:00:00,match,1,45,3.0,Dmitry_st,0,67793,Фырчик,3,Вега; Фырчик; Elric,Elric; Искра; Вега; комик; Фырчик; Talisman; Декс; Оладуш; Сан-Франциско; ГМЖ,https://polemicagame.com/match/613288,
613339,2026-08-02 13:29:32,match,4,41,3.0,ЧехонтЭ,1,[],youngstanis,1,Секрет,Секрет-; Overlordff; На себя; Дионисий; Witgen; pochemyyazdes; Листик_SPb; Sirena13; youngstanis; Инкогнито,https://polemicagame.com/match/613339,
611641,2026-08-02 14:00:00,match,1,27,3.0,Anомалия,0,59762,23,4,Ластхиро; Саня запчасти; Story; Аномалия,Doc.; Гoспoжa; Stereo; Anомалия; 23; Story; Аккорд; Ластхиро; Доктор_Ливси; саня запчасти,https://polemicagame.com/match/611641,
613289,2026-08-02 14:00:00,match,1,46,3.0,Dmitry_st,1,98325,Вега,3,Вега; Фырчик; Elric,Искра; Вега; Elric; Talisman; Декс; Сан-Франциско; комик; ГМЖ; Фырчик; Оладуш,https://polemicagame.com/match/613289,
613356,2026-08-02 14:24:05,match,4,42,3.0,ЧехонтЭ,1,[],Дионисий,1,Секрет,Инкогнито; Дионисий; youngstanis; Секрет-; Witgen; Листик_SPb; Sirena13; Overlordff; На себя; pochemyyazdes,https://polemicagame.com/match/613356,
611642,2026-08-02 15:00:00,match,1,28,3.0,Anомалия,1,858,Stereo,4,Ластхиро; Саня запчасти; Story; Аномалия,23; Доктор_Ливси; Аккорд; Anомалия; Story; Гoспoжa; Размен; Ластхиро; Stereo; саня запчасти,https://polemicagame.com/match/611642,
613290,2026-08-02 15:00:00,match,1,47,3.0,Dmitry_st,1,56690,комик,3,Вега; Фырчик; Elric,Декс; Фырчик; Talisman; Искра; ГМЖ; комик; Вега; Elric; Оладуш; Сан-Франциско,https://polemicagame.com/match/613290,
613380,2026-08-02 15:19:09,match,4,43,3.0,ЧехонтЭ,1,[],pochemyyazdes,1,Секрет,pochemyyazdes; Sirena13; Листик_SPb; Инкогнито; Witgen; Overlordff; На себя; Секрет-; youngstanis; Дионисий,https://polemicagame.com/match/613380,
611643,2026-08-02 16:00:00,match,1,29,3.0,Anомалия,1,98224,Macarena,5,Ластхиро; Саня запчасти; Story; Macarena; Аномалия,Stereo; Аккорд; 23; Macarena; Story; саня запчасти; Гoспoжa; Anомалия; Размен; Ластхиро,https://polemicagame.com/match/611643,
613291,2026-08-02 16:00:00,match,1,48,3.0,Dmitry_st,1,92089,Вега,3,Вега; Фырчик; Elric,Фырчик; Вега; Talisman; Декс; ГМЖ; Сан-Франциско; комик; Оладуш; Elric; Искра,https://polemicagame.com/match/613291,
611644,2026-08-02 17:00:00,match,1,30,3.0,Anомалия,1,74059,Аккорд,4,Ластхиро; Саня запчасти; Story; Аномалия,Доктор_Ливси; 23; Stereo; Размен; Story; Ластхиро; Аккорд; Anомалия; Гoспoжa; саня запчасти,https://polemicagame.com/match/611644,
613411,2026-08-02 17:03:18,match,4,44,3.0,ЧехонтЭ,0,[],Sirena13,1,Секрет,Листик_SPb; Инкогнито; На себя; youngstanis; Sirena13; Секрет-; Overlordff; Дионисий; pochemyyazdes; Witgen,https://polemicagame.com/match/613411,
613281,2026-08-03 13:00:00,match,1,41,3.0,ЧехонтЭ,1,88154,pochemyyazdes,1,Секрет,Секрет-; Overlordff; На себя; Дионисий; Witgen; pochemyyazdes; Листик_SPb; Sirena13; youngstanis; Инкогнито,https://polemicagame.com/match/613281,
