poster_nick,polemica_nick,user_id,profile_url,mmr,city,region,fed_events,fed_scores,fed_top1,fed_top3,fed_top10,date_from,date_to,achievements_count,achievements,error,slice,slice_label,game_type,games,wins,winrate,points,extra_points,avg_score,avg_extra_score,first_killed,first_killed_pct,fouls,tech_fouls,best_move_points,civilian_games,civilian_wins,civilian_winrate,civilian_points,civilian_extra_points,civilian_avg_score,civilian_avg_extra_score,civilian_first_killed,civilian_first_killed_pct,civilian_fouls,civilian_tech_fouls,civilian_best_move_points,sheriff_games,sheriff_wins,sheriff_winrate,sheriff_points,sheriff_extra_points,sheriff_avg_score,sheriff_avg_extra_score,sheriff_first_killed,sheriff_first_killed_pct,sheriff_fouls,sheriff_tech_fouls,sheriff_best_move_points,mafia_games,mafia_wins,mafia_winrate,mafia_points,mafia_extra_points,mafia_avg_score,mafia_avg_extra_score,mafia_first_killed,mafia_first_killed_pct,mafia_fouls,mafia_tech_fouls,mafia_best_move_points,don_games,don_wins,don_winrate,don_points,don_extra_points,don_avg_score,don_avg_extra_score,don_first_killed,don_first_killed_pct,don_fouls,don_tech_fouls,don_best_move_points,scoring_1_games,scoring_1_wins,scoring_1_winrate,scoring_1_points,scoring_1_extra_points,scoring_1_avg_score,scoring_1_avg_extra_score,scoring_1_first_killed,scoring_1_first_killed_pct,scoring_1_fouls,scoring_1_tech_fouls,scoring_1_best_move_points,scoring_2_games,scoring_2_wins,scoring_2_winrate,scoring_2_points,scoring_2_extra_points,scoring_2_avg_score,scoring_2_avg_extra_score,scoring_2_first_killed,scoring_2_first_killed_pct,scoring_2_fouls,scoring_2_tech_fouls,scoring_2_best_move_points,scoring_3_games,scoring_3_wins,scoring_3_winrate,scoring_3_points,scoring_3_extra_points,scoring_3_avg_score,scoring_3_avg_extra_score,scoring_3_first_killed,scoring_3_first_killed_pct,scoring_3_fouls,scoring_3_tech_fouls,scoring_3_best_move_points
Секрет,Секрет-,88154,https://polemicagame.com/profile/88154,,,,14,185.8,0,0,4,2026-01-01,2026-08-27,7,Интуитивный Победитель; Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,offline_tournament,Оффлайн турниры,competition,183,81,44.3,101.05,45.85,0.55,0.25,17,9.3,0,0,6.8,118,41,34.7,54.65,25.65,0.46,0.22,14,11.9,0,0,5.8,16,6,37.5,10.0,5.5,0.62,0.34,3,18.8,0,0,1.0,34,21,61.8,21.2,9.2,0.62,0.27,0,0.0,0,0,0.0,15,13,86.7,15.2,5.5,1.01,0.37,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,183,81,44.3,101.05,45.85,0.55,0.25,17,9.3,0,0,6.8
Кармин,Кармин,70516,https://polemicagame.com/profile/70516,,,,12,177.5,0,1,4,2026-01-01,2026-08-27,1,Первый шаг,,offline_tournament,Оффлайн турниры,competition,201,94,46.8,121.43,47.83,0.6,0.24,9,4.5,0,0,1.9,118,45,38.1,57.73,22.93,0.49,0.19,5,4.2,0,0,0.6,15,5,33.3,9.3,5.2,0.62,0.35,4,26.7,0,0,1.3,43,31,72.1,37.7,13.0,0.88,0.3,0,0.0,0,0,0.0,25,13,52.0,16.7,6.7,0.67,0.27,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,201,94,46.8,121.43,47.83,0.6,0.24,9,4.5,0,0,1.9
Elric,Elric,99882,https://polemicagame.com/profile/99882,,,,7,160.6,0,1,3,2026-01-01,2026-08-27,12,Интриган; Интуитивный Победитель; Миротворец; Невидимка; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози; Страж порядка; Удача или Умение?; Я - Дон,,offline_tournament,Оффлайн турниры,competition,159,83,52.2,103.95,44.75,0.65,0.28,13,8.2,0,0,5.2,97,38,39.2,48.05,22.95,0.5,0.24,12,12.4,0,0,4.5,14,8,57.1,11.7,5.8,0.84,0.41,1,7.1,0,0,0.7,32,26,81.2,32.7,12.2,1.02,0.38,0,0.0,0,0,0.0,16,11,68.8,11.5,3.8,0.72,0.24,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,159,83,52.2,103.95,44.75,0.65,0.28,13,8.2,0,0,5.2
Macarena,Macarena,70253,https://polemicagame.com/profile/70253,,Санкт-Петербург,RU,9,159.5,0,0,3,2026-01-01,2026-08-27,13,Интриган; Интуитивный Победитель; Миротворец; Невидимка; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози; Секретный кандидат; Страж порядка; Удача или Умение?; Я - Дон,,offline_tournament,Оффлайн турниры,competition,139,71,51.1,90.95,39.7,0.65,0.29,27,19.4,0,0,10.0,83,41,49.4,54.7,25.1,0.66,0.3,25,30.1,0,0,9.4,13,6,46.2,9.55,5.6,0.73,0.43,2,15.4,0,0,0.6,22,11,50.0,12.5,4.5,0.57,0.2,0,0.0,0,0,0.0,21,13,61.9,14.2,4.5,0.68,0.21,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,139,71,51.1,90.95,39.7,0.65,0.29,27,19.4,0,0,10.0
Марипоса,Марипоса,128592,https://polemicagame.com/profile/128592,,,,10,156.3,1,1,3,2026-01-01,2026-08-27,5,Миротворец; Первый шаг; Победный дебют; Проверенный черный; Путь мафиози,,offline_tournament,Оффлайн турниры,competition,182,88,48.4,111.25,42.75,0.61,0.23,8,4.4,0,0,2.1,113,47,41.6,59.25,22.75,0.52,0.2,6,5.3,0,0,1.5,18,8,44.4,12.6,6.7,0.7,0.37,2,11.1,0,0,0.6,35,21,60.0,25.1,8.0,0.72,0.23,0,0.0,0,0,0.0,16,12,75.0,14.3,5.3,0.89,0.33,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,182,88,48.4,111.25,42.75,0.61,0.23,8,4.4,0,0,2.1
Фырчик,Фырчик,78547,https://polemicagame.com/profile/78547,,Санкт-Петербург,RU,10,155.2,0,1,4,2026-01-01,2026-08-27,9,Интриган; Интуитивный Победитель; Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози; Удача или Умение?,,offline_tournament,Оффлайн турниры,competition,141,64,45.4,80.1,28.8,0.57,0.2,2,1.4,0,0,0.0,76,28,36.8,35.2,11.8,0.46,0.16,2,2.6,0,0,0.0,20,6,30.0,7.6,2.8,0.38,0.14,0,0.0,0,0,0.0,32,20,62.5,24.4,8.9,0.76,0.28,0,0.0,0,0,0.0,13,10,76.9,12.9,5.3,0.99,0.41,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,141,64,45.4,80.1,28.8,0.57,0.2,2,1.4,0,0,0.0
Hartmann,HARTMANN_SPB,56102,https://polemicagame.com/profile/56102,,Сергеевич,RU,8,151.1,0,3,3,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,offline_tournament,Оффлайн турниры,competition,35,16,45.7,22.5,11.0,0.64,0.31,3,8.6,1,1,1.7,19,8,42.1,10.4,4.8,0.55,0.25,2,10.5,0,0,1.0,6,2,33.3,4.2,2.5,0.7,0.42,1,16.7,1,1,0.7,7,4,57.1,5.4,2.6,0.77,0.37,0,0.0,0,0,0.0,3,2,66.7,2.5,1.1,0.83,0.37,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,35,16,45.7,22.5,11.0,0.64,0.31,3,8.6,1,1,1.7
ФДМ,ФДМ,1306,https://polemicagame.com/profile/1306,,Санкт-Петербург,RU,4,140.2,0,1,3,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,offline_tournament,Оффлайн турниры,competition,58,39,67.2,49.65,19.3,0.86,0.33,14,24.1,0,0,5.5,27,16,59.3,21.05,8.9,0.78,0.33,11,40.7,0,0,4.5,8,3,37.5,5.8,3.1,0.73,0.39,3,37.5,0,0,1.0,14,12,85.7,15.3,5.7,1.09,0.41,0,0.0,0,0,0.0,9,8,88.9,7.5,1.6,0.83,0.18,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,58,39,67.2,49.65,19.3,0.86,0.33,14,24.1,0,0,5.5
Аномалия,Anомалия,98224,https://polemicagame.com/profile/98224,,,,12,130.9,0,0,2,2026-01-01,2026-08-27,3,Миротворец; Первый шаг; Победный дебют,,offline_tournament,Оффлайн турниры,competition,145,66,45.5,78.95,31.6,0.54,0.22,16,11.0,3,3,4.1,82,30,36.6,36.3,14.05,0.44,0.17,12,14.6,0,0,3.3,12,3,25.0,6.0,3.9,0.5,0.33,4,33.3,0,0,0.8,33,18,54.5,21.15,8.7,0.64,0.26,0,0.0,1,1,0.0,18,15,83.3,15.5,4.95,0.86,0.28,0,0.0,2,2,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,145,66,45.5,78.95,31.6,0.54,0.22,16,11.0,3,3,4.1
Story,Story,59762,https://polemicagame.com/profile/59762,,Санкт-Петербург,RU,10,123.8,1,1,4,2026-01-01,2026-08-27,2,Первый шаг; Победный дебют,,offline_tournament,Оффлайн турниры,competition,80,41,51.2,52.8,19.6,0.66,0.25,4,5.0,0,0,0.9,45,18,40.0,23.3,8.9,0.52,0.2,4,8.9,0,0,0.9,8,6,75.0,8.8,3.7,1.1,0.46,0,0.0,0,0,0.0,16,8,50.0,9.3,3.1,0.58,0.19,0,0.0,0,0,0.0,11,9,81.8,11.4,3.9,1.04,0.35,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,80,41,51.2,52.8,19.6,0.66,0.25,4,5.0,0,0,0.9
