poster_nick,polemica_nick,user_id,profile_url,mmr,city,region,fed_events,fed_scores,fed_top1,fed_top3,fed_top10,date_from,date_to,achievements_count,achievements,error,games,wins,winrate,points,extra_points,avg_score,avg_extra_score,first_killed,first_killed_pct,fouls,tech_fouls,best_move_points,civilian_games,civilian_wins,civilian_winrate,civilian_points,civilian_extra_points,civilian_avg_score,civilian_avg_extra_score,civilian_first_killed,civilian_first_killed_pct,civilian_fouls,civilian_tech_fouls,civilian_best_move_points,sheriff_games,sheriff_wins,sheriff_winrate,sheriff_points,sheriff_extra_points,sheriff_avg_score,sheriff_avg_extra_score,sheriff_first_killed,sheriff_first_killed_pct,sheriff_fouls,sheriff_tech_fouls,sheriff_best_move_points,mafia_games,mafia_wins,mafia_winrate,mafia_points,mafia_extra_points,mafia_avg_score,mafia_avg_extra_score,mafia_first_killed,mafia_first_killed_pct,mafia_fouls,mafia_tech_fouls,mafia_best_move_points,don_games,don_wins,don_winrate,don_points,don_extra_points,don_avg_score,don_avg_extra_score,don_first_killed,don_first_killed_pct,don_fouls,don_tech_fouls,don_best_move_points,league_games,league_wins,league_winrate,league_points,league_extra_points,league_avg_score,league_avg_extra_score,league_first_killed,league_first_killed_pct,league_fouls,league_tech_fouls,league_best_move_points,lobby_games,lobby_wins,lobby_winrate,lobby_points,lobby_extra_points,lobby_avg_score,lobby_avg_extra_score,lobby_first_killed,lobby_first_killed_pct,lobby_fouls,lobby_tech_fouls,lobby_best_move_points,club_games,club_wins,club_winrate,club_points,club_extra_points,club_avg_score,club_avg_extra_score,club_first_killed,club_first_killed_pct,club_fouls,club_tech_fouls,club_best_move_points,competition_games,competition_wins,competition_winrate,competition_points,competition_extra_points,competition_avg_score,competition_avg_extra_score,competition_first_killed,competition_first_killed_pct,competition_fouls,competition_tech_fouls,competition_best_move_points,tournament_games,tournament_wins,tournament_winrate,tournament_points,tournament_extra_points,tournament_avg_score,tournament_avg_extra_score,tournament_first_killed,tournament_first_killed_pct,tournament_fouls,tournament_tech_fouls,tournament_best_move_points,all_tournament_games,all_tournament_wins,all_tournament_winrate,all_tournament_points,all_tournament_extra_points,all_tournament_avg_score,all_tournament_avg_extra_score,all_tournament_first_killed,all_tournament_first_killed_pct,all_tournament_fouls,all_tournament_tech_fouls,all_tournament_best_move_points,non_tournament_games,non_tournament_wins,non_tournament_winrate,non_tournament_points,non_tournament_extra_points,non_tournament_avg_score,non_tournament_avg_extra_score,non_tournament_first_killed,non_tournament_first_killed_pct,non_tournament_fouls,non_tournament_tech_fouls,non_tournament_best_move_points,online_games,online_wins,online_winrate,online_points,online_extra_points,online_avg_score,online_avg_extra_score,online_first_killed,online_first_killed_pct,online_fouls,online_tech_fouls,online_best_move_points,offline_games,offline_wins,offline_winrate,offline_points,offline_extra_points,offline_avg_score,offline_avg_extra_score,offline_first_killed,offline_first_killed_pct,offline_fouls,offline_tech_fouls,offline_best_move_points,scoring_1_games,scoring_1_wins,scoring_1_winrate,scoring_1_points,scoring_1_extra_points,scoring_1_avg_score,scoring_1_avg_extra_score,scoring_1_first_killed,scoring_1_first_killed_pct,scoring_1_fouls,scoring_1_tech_fouls,scoring_1_best_move_points,scoring_2_games,scoring_2_wins,scoring_2_winrate,scoring_2_points,scoring_2_extra_points,scoring_2_avg_score,scoring_2_avg_extra_score,scoring_2_first_killed,scoring_2_first_killed_pct,scoring_2_fouls,scoring_2_tech_fouls,scoring_2_best_move_points,scoring_3_games,scoring_3_wins,scoring_3_winrate,scoring_3_points,scoring_3_extra_points,scoring_3_avg_score,scoring_3_avg_extra_score,scoring_3_first_killed,scoring_3_first_killed_pct,scoring_3_fouls,scoring_3_tech_fouls,scoring_3_best_move_points
Секрет,Секрет-,88154,https://polemicagame.com/profile/88154,,,,14,185.8,0,0,4,2026-01-01,2026-08-27,7,Интуитивный Победитель; Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,210,90,42.9,116.2,52.0,0.55,0.25,18,8.6,0,0,6.9,134,44,32.8,60.6,28.6,0.45,0.21,15,11.2,0,0,5.9,18,6,33.3,10.2,5.7,0.57,0.32,3,16.7,0,0,1.0,37,23,62.2,24.4,10.4,0.66,0.28,0,0.0,0,0,0.0,21,17,81.0,21.0,7.3,1.0,0.35,0,0.0,0,0,0.0,2,1,50.0,1.5,0.5,0.75,0.25,0,0.0,0,0,0.0,24,8,33.3,13.55,5.55,0.56,0.23,0,0.0,0,0,0.0,1,0,0.0,0.1,0.1,0.1,0.1,1,100.0,0,0,0.1,183,81,44.3,101.05,45.85,0.55,0.25,17,9.3,0,0,6.8,0,0,,0.0,0.0,,,0,,0,0,0.0,183,81,44.3,101.05,45.85,0.55,0.25,17,9.3,0,0,6.8,27,9,33.3,15.15,6.15,0.56,0.23,1,3.7,0,0,0.1,27,9,33.3,15.15,6.15,0.56,0.23,1,3.7,0,0,0.1,183,81,44.3,101.05,45.85,0.55,0.25,17,9.3,0,0,6.8,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,210,90,42.9,116.2,52.0,0.55,0.25,18,8.6,0,0,6.9
Кармин,Кармин,70516,https://polemicagame.com/profile/70516,,,,12,177.5,0,1,4,2026-01-01,2026-08-27,1,Первый шаг,,277,133,48.0,179.33,66.73,0.65,0.24,15,5.4,0,0,4.2,161,62,38.5,84.33,32.53,0.52,0.2,8,5.0,0,0,2.3,22,9,40.9,16.1,8.0,0.73,0.36,7,31.8,0,0,1.9,62,44,71.0,55.9,18.2,0.9,0.29,0,0.0,0,0,0.0,32,18,56.2,23.0,8.0,0.72,0.25,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,1,0,0.0,-0.3,-0.3,-0.3,-0.3,0,0.0,0,0,0.0,75,39,52.0,58.2,19.2,0.78,0.26,6,8.0,0,0,2.3,201,94,46.8,121.43,47.83,0.6,0.24,9,4.5,0,0,1.9,0,0,,0.0,0.0,,,0,,0,0,0.0,201,94,46.8,121.43,47.83,0.6,0.24,9,4.5,0,0,1.9,76,39,51.3,57.9,18.9,0.76,0.25,6,7.9,0,0,2.3,76,39,51.3,57.9,18.9,0.76,0.25,6,7.9,0,0,2.3,201,94,46.8,121.43,47.83,0.6,0.24,9,4.5,0,0,1.9,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,277,133,48.0,179.33,66.73,0.65,0.24,15,5.4,0,0,4.2
Elric,Elric,99882,https://polemicagame.com/profile/99882,,,,7,160.6,0,1,3,2026-01-01,2026-08-27,12,Интриган; Интуитивный Победитель; Миротворец; Невидимка; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози; Страж порядка; Удача или Умение?; Я - Дон,,172,89,51.7,113.7,48.5,0.66,0.28,14,8.1,0,0,5.5,103,40,38.8,52.2,25.1,0.51,0.24,12,11.7,0,0,4.5,15,8,53.3,12.2,6.3,0.81,0.42,2,13.3,0,0,1.0,38,30,78.9,37.8,13.3,0.99,0.35,0,0.0,0,0,0.0,16,11,68.8,11.5,3.8,0.72,0.24,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,13,6,46.2,9.75,3.75,0.75,0.29,1,7.7,0,0,0.3,159,83,52.2,103.95,44.75,0.65,0.28,13,8.2,0,0,5.2,0,0,,0.0,0.0,,,0,,0,0,0.0,159,83,52.2,103.95,44.75,0.65,0.28,13,8.2,0,0,5.2,13,6,46.2,9.75,3.75,0.75,0.29,1,7.7,0,0,0.3,13,6,46.2,9.75,3.75,0.75,0.29,1,7.7,0,0,0.3,159,83,52.2,103.95,44.75,0.65,0.28,13,8.2,0,0,5.2,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,172,89,51.7,113.7,48.5,0.66,0.28,14,8.1,0,0,5.5
Macarena,Macarena,70253,https://polemicagame.com/profile/70253,,Санкт-Петербург,RU,9,159.5,0,0,3,2026-01-01,2026-08-27,13,Интриган; Интуитивный Победитель; Миротворец; Невидимка; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози; Секретный кандидат; Страж порядка; Удача или Умение?; Я - Дон,,485,227,46.8,321.6,114.35,0.66,0.24,56,11.5,0,0,16.5,279,114,40.9,158.95,56.35,0.57,0.2,49,17.6,0,0,14.3,45,15,33.3,29.35,16.4,0.65,0.36,5,11.1,0,0,2.2,95,54,56.8,72.9,21.9,0.77,0.23,0,0.0,0,0,0.0,66,44,66.7,60.4,19.7,0.92,0.3,2,3.0,0,0,0.0,13,7,53.8,10.8,3.8,0.83,0.29,1,7.7,0,0,0.5,320,143,44.7,209.55,66.55,0.65,0.21,26,8.1,0,0,5.4,13,6,46.2,10.3,4.3,0.79,0.33,2,15.4,0,0,0.6,139,71,51.1,90.95,39.7,0.65,0.29,27,19.4,0,0,10.0,0,0,,0.0,0.0,,,0,,0,0,0.0,139,71,51.1,90.95,39.7,0.65,0.29,27,19.4,0,0,10.0,346,156,45.1,230.65,74.65,0.67,0.22,29,8.4,0,0,6.5,346,156,45.1,230.65,74.65,0.67,0.22,29,8.4,0,0,6.5,139,71,51.1,90.95,39.7,0.65,0.29,27,19.4,0,0,10.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,485,227,46.8,321.6,114.35,0.66,0.24,56,11.5,0,0,16.5
Марипоса,Марипоса,128592,https://polemicagame.com/profile/128592,,,,10,156.3,1,1,3,2026-01-01,2026-08-27,5,Миротворец; Первый шаг; Победный дебют; Проверенный черный; Путь мафиози,,229,111,48.5,144.95,53.45,0.63,0.23,11,4.8,1,1,2.7,143,60,42.0,77.45,27.95,0.54,0.2,8,5.6,0,0,1.8,24,9,37.5,15.8,8.9,0.66,0.37,3,12.5,1,1,0.9,45,29,64.4,35.8,10.7,0.8,0.24,0,0.0,0,0,0.0,17,13,76.5,15.9,5.9,0.94,0.35,0,0.0,0,0,0.0,2,0,0.0,0.4,0.4,0.2,0.2,0,0.0,0,0,0.0,39,19,48.7,26.3,7.3,0.67,0.19,3,7.7,1,1,0.6,6,4,66.7,7.0,3.0,1.17,0.5,0,0.0,0,0,0.0,182,88,48.4,111.25,42.75,0.61,0.23,8,4.4,0,0,2.1,0,0,,0.0,0.0,,,0,,0,0,0.0,182,88,48.4,111.25,42.75,0.61,0.23,8,4.4,0,0,2.1,47,23,48.9,33.7,10.7,0.72,0.23,3,6.4,1,1,0.6,47,23,48.9,33.7,10.7,0.72,0.23,3,6.4,1,1,0.6,182,88,48.4,111.25,42.75,0.61,0.23,8,4.4,0,0,2.1,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,229,111,48.5,144.95,53.45,0.63,0.23,11,4.8,1,1,2.7
Фырчик,Фырчик,78547,https://polemicagame.com/profile/78547,,Санкт-Петербург,RU,10,155.2,0,1,4,2026-01-01,2026-08-27,9,Интриган; Интуитивный Победитель; Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози; Удача или Умение?,,251,110,43.8,151.4,54.1,0.6,0.22,12,4.8,0,0,2.2,149,54,36.2,76.4,27.0,0.51,0.18,11,7.4,0,0,1.4,30,9,30.0,13.7,5.9,0.46,0.2,1,3.3,0,0,0.8,51,34,66.7,43.9,14.4,0.86,0.28,0,0.0,0,0,0.0,21,13,61.9,17.4,6.8,0.83,0.32,0,0.0,0,0,0.0,1,1,100.0,1.5,0.5,1.5,0.5,0,0.0,0,0,0.0,89,39,43.8,59.4,20.4,0.67,0.23,9,10.1,0,0,1.7,20,6,30.0,10.4,4.4,0.52,0.22,1,5.0,0,0,0.5,141,64,45.4,80.1,28.8,0.57,0.2,2,1.4,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,141,64,45.4,80.1,28.8,0.57,0.2,2,1.4,0,0,0.0,110,46,41.8,71.3,25.3,0.65,0.23,10,9.1,0,0,2.2,110,46,41.8,71.3,25.3,0.65,0.23,10,9.1,0,0,2.2,141,64,45.4,80.1,28.8,0.57,0.2,2,1.4,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,251,110,43.8,151.4,54.1,0.6,0.22,12,4.8,0,0,2.2
Hartmann,HARTMANN_SPB,56102,https://polemicagame.com/profile/56102,,Сергеевич,RU,8,151.1,0,3,3,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,92,39,42.4,56.6,22.1,0.62,0.24,11,12.0,2,2,2.8,52,22,42.3,28.2,8.6,0.54,0.17,7,13.5,1,1,1.4,16,3,18.8,7.9,5.2,0.49,0.33,4,25.0,1,1,1.4,15,8,53.3,11.6,4.8,0.77,0.32,0,0.0,0,0,0.0,9,6,66.7,8.9,3.5,0.99,0.39,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,46,19,41.3,27.0,8.0,0.59,0.17,6,13.0,0,0,-0.2,11,4,36.4,7.1,3.1,0.65,0.28,2,18.2,1,1,1.3,35,16,45.7,22.5,11.0,0.64,0.31,3,8.6,1,1,1.7,0,0,,0.0,0.0,,,0,,0,0,0.0,35,16,45.7,22.5,11.0,0.64,0.31,3,8.6,1,1,1.7,57,23,40.4,34.1,11.1,0.6,0.19,8,14.0,1,1,1.1,57,23,40.4,34.1,11.1,0.6,0.19,8,14.0,1,1,1.1,35,16,45.7,22.5,11.0,0.64,0.31,3,8.6,1,1,1.7,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,92,39,42.4,56.6,22.1,0.62,0.24,11,12.0,2,2,2.8
ФДМ,ФДМ,1306,https://polemicagame.com/profile/1306,,Санкт-Петербург,RU,4,140.2,0,1,3,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,103,56,54.4,77.9,30.55,0.76,0.3,21,20.4,2,2,7.4,59,26,44.1,38.9,16.75,0.66,0.28,16,27.1,1,1,6.0,16,6,37.5,10.5,4.8,0.66,0.3,5,31.2,1,1,1.4,17,15,88.2,19.4,6.8,1.14,0.4,0,0.0,0,0,0.0,11,9,81.8,9.1,2.2,0.83,0.2,0,0.0,0,0,0.0,2,1,50.0,1.7,0.7,0.85,0.35,0,0.0,0,0,0.0,41,14,34.1,23.85,9.85,0.58,0.24,7,17.1,2,2,1.9,2,2,100.0,2.7,0.7,1.35,0.35,0,0.0,0,0,0.0,58,39,67.2,49.65,19.3,0.86,0.33,14,24.1,0,0,5.5,0,0,,0.0,0.0,,,0,,0,0,0.0,58,39,67.2,49.65,19.3,0.86,0.33,14,24.1,0,0,5.5,45,17,37.8,28.25,11.25,0.63,0.25,7,15.6,2,2,1.9,45,17,37.8,28.25,11.25,0.63,0.25,7,15.6,2,2,1.9,58,39,67.2,49.65,19.3,0.86,0.33,14,24.1,0,0,5.5,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,103,56,54.4,77.9,30.55,0.76,0.3,21,20.4,2,2,7.4
Аномалия,Anомалия,98224,https://polemicagame.com/profile/98224,,,,12,130.9,0,0,2,2026-01-01,2026-08-27,3,Миротворец; Первый шаг; Победный дебют,,186,82,44.1,98.45,35.1,0.53,0.19,20,10.8,5,5,4.4,107,35,32.7,41.1,13.85,0.38,0.13,16,15.0,1,1,3.6,16,5,31.2,8.1,4.0,0.51,0.25,4,25.0,1,1,0.8,38,20,52.6,23.85,9.4,0.63,0.25,0,0.0,1,1,0.0,25,22,88.0,25.4,7.85,1.02,0.31,0,0.0,2,2,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,6,0,0.0,-0.1,-0.1,-0.02,-0.02,0,0.0,1,1,0.0,35,16,45.7,19.6,3.6,0.56,0.1,4,11.4,1,1,0.3,145,66,45.5,78.95,31.6,0.54,0.22,16,11.0,3,3,4.1,0,0,,0.0,0.0,,,0,,0,0,0.0,145,66,45.5,78.95,31.6,0.54,0.22,16,11.0,3,3,4.1,41,16,39.0,19.5,3.5,0.48,0.09,4,9.8,2,2,0.3,41,16,39.0,19.5,3.5,0.48,0.09,4,9.8,2,2,0.3,145,66,45.5,78.95,31.6,0.54,0.22,16,11.0,3,3,4.1,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,186,82,44.1,98.45,35.1,0.53,0.19,20,10.8,5,5,4.4
Story,Story,59762,https://polemicagame.com/profile/59762,,Санкт-Петербург,RU,10,123.8,1,1,4,2026-01-01,2026-08-27,2,Первый шаг; Победный дебют,,94,48,51.1,63.0,22.8,0.67,0.24,5,5.3,0,0,1.2,54,20,37.0,26.2,9.8,0.49,0.18,5,9.3,0,0,1.2,8,6,75.0,8.8,3.7,1.1,0.46,0,0.0,0,0,0.0,19,11,57.9,13.9,4.7,0.73,0.25,0,0.0,0,0,0.0,13,11,84.6,14.1,4.6,1.08,0.35,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,14,7,50.0,10.2,3.2,0.73,0.23,1,7.1,0,0,0.3,80,41,51.2,52.8,19.6,0.66,0.25,4,5.0,0,0,0.9,0,0,,0.0,0.0,,,0,,0,0,0.0,80,41,51.2,52.8,19.6,0.66,0.25,4,5.0,0,0,0.9,14,7,50.0,10.2,3.2,0.73,0.23,1,7.1,0,0,0.3,14,7,50.0,10.2,3.2,0.73,0.23,1,7.1,0,0,0.3,80,41,51.2,52.8,19.6,0.66,0.25,4,5.0,0,0,0.9,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,94,48,51.1,63.0,22.8,0.67,0.24,5,5.3,0,0,1.2
