poster_nick,polemica_nick,user_id,profile_url,mmr,city,region,fed_events,fed_scores,fed_top1,fed_top3,fed_top10,date_from,date_to,achievements_count,achievements,error,slice,slice_label,game_type,games,wins,winrate,points,extra_points,avg_score,avg_extra_score,first_killed,first_killed_pct,fouls,tech_fouls,best_move_points,civilian_games,civilian_wins,civilian_winrate,civilian_points,civilian_extra_points,civilian_avg_score,civilian_avg_extra_score,civilian_first_killed,civilian_first_killed_pct,civilian_fouls,civilian_tech_fouls,civilian_best_move_points,sheriff_games,sheriff_wins,sheriff_winrate,sheriff_points,sheriff_extra_points,sheriff_avg_score,sheriff_avg_extra_score,sheriff_first_killed,sheriff_first_killed_pct,sheriff_fouls,sheriff_tech_fouls,sheriff_best_move_points,mafia_games,mafia_wins,mafia_winrate,mafia_points,mafia_extra_points,mafia_avg_score,mafia_avg_extra_score,mafia_first_killed,mafia_first_killed_pct,mafia_fouls,mafia_tech_fouls,mafia_best_move_points,don_games,don_wins,don_winrate,don_points,don_extra_points,don_avg_score,don_avg_extra_score,don_first_killed,don_first_killed_pct,don_fouls,don_tech_fouls,don_best_move_points,scoring_1_games,scoring_1_wins,scoring_1_winrate,scoring_1_points,scoring_1_extra_points,scoring_1_avg_score,scoring_1_avg_extra_score,scoring_1_first_killed,scoring_1_first_killed_pct,scoring_1_fouls,scoring_1_tech_fouls,scoring_1_best_move_points,scoring_2_games,scoring_2_wins,scoring_2_winrate,scoring_2_points,scoring_2_extra_points,scoring_2_avg_score,scoring_2_avg_extra_score,scoring_2_first_killed,scoring_2_first_killed_pct,scoring_2_fouls,scoring_2_tech_fouls,scoring_2_best_move_points,scoring_3_games,scoring_3_wins,scoring_3_winrate,scoring_3_points,scoring_3_extra_points,scoring_3_avg_score,scoring_3_avg_extra_score,scoring_3_first_killed,scoring_3_first_killed_pct,scoring_3_fouls,scoring_3_tech_fouls,scoring_3_best_move_points
Секрет,Секрет-,88154,https://polemicagame.com/profile/88154,,,,14,185.8,0,0,4,2026-01-01,2026-08-27,7,Интуитивный Победитель; Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",186,82,44.1,102.65,46.45,0.55,0.25,18,9.7,0,0,6.9,119,41,34.5,54.75,25.75,0.46,0.22,15,12.6,0,0,5.9,17,6,35.3,10.1,5.6,0.59,0.33,3,17.6,0,0,1.0,34,21,61.8,21.2,9.2,0.62,0.27,0,0.0,0,0,0.0,16,14,87.5,16.6,5.9,1.04,0.37,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,186,82,44.1,102.65,46.45,0.55,0.25,18,9.7,0,0,6.9
Кармин,Кармин,70516,https://polemicagame.com/profile/70516,,,,12,177.5,0,1,4,2026-01-01,2026-08-27,1,Первый шаг,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",276,133,48.2,179.63,67.03,0.65,0.24,15,5.4,0,0,4.2,160,62,38.8,84.63,32.83,0.53,0.21,8,5.0,0,0,2.3,22,9,40.9,16.1,8.0,0.73,0.36,7,31.8,0,0,1.9,62,44,71.0,55.9,18.2,0.9,0.29,0,0.0,0,0,0.0,32,18,56.2,23.0,8.0,0.72,0.25,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,276,133,48.2,179.63,67.03,0.65,0.24,15,5.4,0,0,4.2
Elric,Elric,99882,https://polemicagame.com/profile/99882,,,,7,160.6,0,1,3,2026-01-01,2026-08-27,12,Интриган; Интуитивный Победитель; Миротворец; Невидимка; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози; Страж порядка; Удача или Умение?; Я - Дон,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",172,89,51.7,113.7,48.5,0.66,0.28,14,8.1,0,0,5.5,103,40,38.8,52.2,25.1,0.51,0.24,12,11.7,0,0,4.5,15,8,53.3,12.2,6.3,0.81,0.42,2,13.3,0,0,1.0,38,30,78.9,37.8,13.3,0.99,0.35,0,0.0,0,0,0.0,16,11,68.8,11.5,3.8,0.72,0.24,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,172,89,51.7,113.7,48.5,0.66,0.28,14,8.1,0,0,5.5
Macarena,Macarena,70253,https://polemicagame.com/profile/70253,,Санкт-Петербург,RU,9,159.5,0,0,3,2026-01-01,2026-08-27,13,Интриган; Интуитивный Победитель; Миротворец; Невидимка; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози; Секретный кандидат; Страж порядка; Удача или Умение?; Я - Дон,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",165,84,50.9,112.05,47.8,0.68,0.29,30,18.2,0,0,11.1,97,45,46.4,61.7,28.1,0.64,0.29,27,27.8,0,0,9.9,15,7,46.7,11.95,7.0,0.8,0.47,3,20.0,0,0,1.2,26,14,53.8,17.0,6.0,0.65,0.23,0,0.0,0,0,0.0,27,18,66.7,21.4,6.7,0.79,0.25,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,165,84,50.9,112.05,47.8,0.68,0.29,30,18.2,0,0,11.1
Марипоса,Марипоса,128592,https://polemicagame.com/profile/128592,,,,10,156.3,1,1,3,2026-01-01,2026-08-27,5,Миротворец; Первый шаг; Победный дебют; Проверенный черный; Путь мафиози,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",190,92,48.4,118.65,46.15,0.62,0.24,8,4.2,0,0,2.1,117,48,41.0,61.65,24.15,0.53,0.21,6,5.1,0,0,1.5,20,9,45.0,14.6,7.7,0.73,0.39,2,10.0,0,0,0.6,37,23,62.2,28.1,9.0,0.76,0.24,0,0.0,0,0,0.0,16,12,75.0,14.3,5.3,0.89,0.33,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,190,92,48.4,118.65,46.15,0.62,0.24,8,4.2,0,0,2.1
Фырчик,Фырчик,78547,https://polemicagame.com/profile/78547,,Санкт-Петербург,RU,10,155.2,0,1,4,2026-01-01,2026-08-27,9,Интриган; Интуитивный Победитель; Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози; Удача или Умение?,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",162,71,43.8,92.0,33.7,0.57,0.21,3,1.9,0,0,0.5,90,33,36.7,44.3,15.9,0.49,0.18,3,3.3,0,0,0.5,22,7,31.8,8.7,2.9,0.4,0.13,0,0.0,0,0,0.0,35,21,60.0,26.0,9.5,0.74,0.27,0,0.0,0,0,0.0,15,10,66.7,13.0,5.4,0.87,0.36,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,162,71,43.8,92.0,33.7,0.57,0.21,3,1.9,0,0,0.5
Hartmann,HARTMANN_SPB,56102,https://polemicagame.com/profile/56102,,Сергеевич,RU,8,151.1,0,3,3,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",46,20,43.5,29.6,14.1,0.64,0.31,5,10.9,2,2,3.0,24,10,41.7,13.1,5.5,0.55,0.23,3,12.5,1,1,1.7,10,2,20.0,5.3,3.6,0.53,0.36,2,20.0,1,1,1.3,8,5,62.5,6.9,3.1,0.86,0.39,0,0.0,0,0,0.0,4,3,75.0,4.3,1.9,1.08,0.48,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,46,20,43.5,29.6,14.1,0.64,0.31,5,10.9,2,2,3.0
ФДМ,ФДМ,1306,https://polemicagame.com/profile/1306,,Санкт-Петербург,RU,4,140.2,0,1,3,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",62,42,67.7,54.05,20.7,0.87,0.33,14,22.6,0,0,5.5,30,18,60.0,23.85,9.7,0.8,0.32,11,36.7,0,0,4.5,8,3,37.5,5.8,3.1,0.73,0.39,3,37.5,0,0,1.0,15,13,86.7,16.9,6.3,1.13,0.42,0,0.0,0,0,0.0,9,8,88.9,7.5,1.6,0.83,0.18,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,62,42,67.7,54.05,20.7,0.87,0.33,14,22.6,0,0,5.5
Аномалия,Anомалия,98224,https://polemicagame.com/profile/98224,,,,12,130.9,0,0,2,2026-01-01,2026-08-27,3,Миротворец; Первый шаг; Победный дебют,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",180,82,45.6,98.55,35.2,0.55,0.2,20,11.1,4,4,4.4,102,35,34.3,41.3,14.05,0.4,0.14,16,15.7,0,0,3.6,16,5,31.2,8.1,4.0,0.51,0.25,4,25.0,1,1,0.8,37,20,54.1,23.75,9.3,0.64,0.25,0,0.0,1,1,0.0,25,22,88.0,25.4,7.85,1.02,0.31,0,0.0,2,2,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,180,82,45.6,98.55,35.2,0.55,0.2,20,11.1,4,4,4.4
Story,Story,59762,https://polemicagame.com/profile/59762,,Санкт-Петербург,RU,10,123.8,1,1,4,2026-01-01,2026-08-27,2,Первый шаг; Победный дебют,,no_open,Без лобби (открытых/фановых игр),"league,club,competition,tournament",94,48,51.1,63.0,22.8,0.67,0.24,5,5.3,0,0,1.2,54,20,37.0,26.2,9.8,0.49,0.18,5,9.3,0,0,1.2,8,6,75.0,8.8,3.7,1.1,0.46,0,0.0,0,0,0.0,19,11,57.9,13.9,4.7,0.73,0.25,0,0.0,0,0,0.0,13,11,84.6,14.1,4.6,1.08,0.35,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,94,48,51.1,63.0,22.8,0.67,0.24,5,5.3,0,0,1.2
